AuthoritativeLabel,Predicate,Subject ARK,Sample Object,Object Counts
"Voigt, Melvin J., 1911-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1776134m,http://library.ucsd.edu/dc/object/bb05129987,1
"Voigt, Melvin J., 1911-",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb0479195x,http://library.ucsd.edu/dc/object/bb0820494h,1
"Wright, Andrew H.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb7885408r,http://library.ucsd.edu/dc/object/bb9523645h,1
"Fleckenstein, Karen",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0172024n,http://library.ucsd.edu/dc/object/bb1161469g,1
"Suess, Hans Eduard, 1909-",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb8568004n,http://library.ucsd.edu/dc/object/bb37215452,2
"Newmark, Leonard",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb8499745f,http://library.ucsd.edu/dc/object/bb2390475m,1
"Stroll, Avrum, 1921-",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb33461158,http://library.ucsd.edu/dc/object/bb72028044,1
"Higgs, DeWitt",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb5598694w,http://library.ucsd.edu/dc/object/bb0752237w,2
"Ringrose, Kathryn M.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb43017543,http://library.ucsd.edu/dc/object/bb4028389z,10
"Higgs, DeWitt",dams:personalName,http://library.ucsd.edu/ark:/20775/bb68956343,http://library.ucsd.edu/dc/object/bb92161495,1
"Lal, D., 1929-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8806915m,http://library.ucsd.edu/dc/object/bb6690530t,2
"Kohl, Candace Phelps, 1947-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7509975d,http://library.ucsd.edu/dc/object/bb6349229f,1
"Singer, Seymour Jonathan",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb1025275s,http://library.ucsd.edu/dc/object/bb6213036h,1
"Singer, Seymour Jonathan",dams:personalName,http://library.ucsd.edu/ark:/20775/bb23222150,http://library.ucsd.edu/dc/object/bb08201704,1
"Rosenblatt, Murray",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb5871736v,http://library.ucsd.edu/dc/object/bb9762554t,1
"Pearce, Roy Harvey",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb0718103w,http://library.ucsd.edu/dc/object/bb4574796n,2
"Mandler, George",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb4233495t,http://library.ucsd.edu/dc/object/bb8124315f,1
"Mandler, George",dams:personalName,http://library.ucsd.edu/ark:/20775/bb55304372,http://library.ucsd.edu/dc/object/bb31410110,1
"Jackson, Gabriel",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb9079956h,http://library.ucsd.edu/dc/object/bb2936555c,1
"Halkin, Hubert René Constantin Marie Joseph",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb3926326g,http://library.ucsd.edu/dc/object/bb7783017r,1
"Halkin, Hubert René Constantin Marie Joseph",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5189136f,http://library.ucsd.edu/dc/object/bb4369691m,1
"Cicourel, Aaron Victor, 1928-",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb8738658c,http://library.ucsd.edu/dc/object/bb26293847,5
"Cicourel, Aaron Victor, 1928-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0035506b,http://library.ucsd.edu/dc/object/bb8260510z,1
"Kerr, Clark, 1911-2003",dams:personalName,http://library.ucsd.edu/ark:/20775/bb96942983,http://library.ucsd.edu/dc/object/bb1844072f,1
"Rotenberg, Manuel",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb06498477,http://library.ucsd.edu/dc/object/bb4540666z,1
"Gusfield, Joseph R., 1923-",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb54963041,http://library.ucsd.edu/dc/object/bb9352996t,1
"Gusfield, Joseph R., 1923-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb67932454,http://library.ucsd.edu/dc/object/bb98646193,1
"Metzger, Albert E",dams:personalName,http://library.ucsd.edu/ark:/20775/bb90116950,http://library.ucsd.edu/dc/object/bb4472183r,2
"Hamburger, Robert N.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb9967334q,http://library.ucsd.edu/dc/object/bb38580655,2
"Hamburger, Robert N",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1264185m,http://library.ucsd.edu/dc/object/bb3209371c,2
"Anderson, Ernest C",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3516767z,http://library.ucsd.edu/dc/object/bb4472183r,1
"Galbraith, John S",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7066284j,http://library.ucsd.edu/dc/object/bb1468640p,1
"Anderson, Ernest R., 1917-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8021924h,http://library.ucsd.edu/dc/object/bb24584129,1
"Taylor, R. E., 1938-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6724986g,http://library.ucsd.edu/dc/object/bb24584129,1
"Saltman, Paul",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb8977565n,http://library.ucsd.edu/dc/object/bb5428047b,2
"Shedlovsky, Julian",dams:personalName,http://library.ucsd.edu/ark:/20775/bb38239362,http://library.ucsd.edu/dc/object/bb6690530t,1
"Brown, Edmund G., 1905-1996",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2185695g,http://library.ucsd.edu/dc/object/bb4028389z,1
"Brown, Edmund G., 1905-1996",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb08887551,http://library.ucsd.edu/dc/object/bb4779576j,2
"Penner, S. S",dams:personalName,http://library.ucsd.edu/ark:/20775/bb69980251,http://library.ucsd.edu/dc/object/bb15027726,1
"Penner, S. S.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb5735217z,http://library.ucsd.edu/dc/object/bb9591907s,1
"Wagner, Arthur",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1844396t,http://library.ucsd.edu/dc/object/bb53253321,1
"Wagner, Arthur",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb05474588,http://library.ucsd.edu/dc/object/bb4438275q,1
"Lakoff, Sanford A.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb53939154,http://library.ucsd.edu/dc/object/bb9250606z,1
"Lakoff, Sanford A",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6690857r,http://library.ucsd.edu/dc/object/bb6963570w,1
"Spiro, Melford E",dams:personalName,http://library.ucsd.edu/ark:/20775/bb15030971,http://library.ucsd.edu/dc/object/bb16058659,2
"Brueckner, Keith A.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb6349554n,http://library.ucsd.edu/dc/object/bb89093051,1
"Brueckner, Keith A",dams:personalName,http://library.ucsd.edu/ark:/20775/bb50526149,http://library.ucsd.edu/dc/object/bb5052289g,1
"Stewart, John L.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb86021365,http://library.ucsd.edu/dc/object/bb37556768,2
"Stewart, John L.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9864945t,http://library.ucsd.edu/dc/object/bb3072749x,1
"Kramer, M",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0923056d,http://library.ucsd.edu/dc/object/bb2561275p,1
"Giplin, E",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1230226w,http://library.ucsd.edu/dc/object/bb67592631,1
"Li, L",dams:personalName,http://library.ucsd.edu/ark:/20775/bb15373975,http://library.ucsd.edu/dc/object/bb0581732k,3
"Emory, K",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2493037h,http://library.ucsd.edu/dc/object/bb5086895c,1
"Goodman, J",dams:personalName,http://library.ucsd.edu/ark:/20775/bb25271667,http://library.ucsd.edu/dc/object/bb67592631,1
"Winglee, M",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2834336v,http://library.ucsd.edu/dc/object/bb0581732k,2
"Choi, W",dams:personalName,http://library.ucsd.edu/ark:/20775/bb28684693,http://library.ucsd.edu/dc/object/bb2561275p,2
"White, VM",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0240458b,http://library.ucsd.edu/dc/object/bb1878673f,1
"Hubbell, K",dams:personalName,http://library.ucsd.edu/ark:/20775/bb05817574,http://library.ucsd.edu/dc/object/bb0581732k,2
"Pierce, JP",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0615887c,http://library.ucsd.edu/dc/object/bb86705426,9
"Boman, M",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1196099b,http://library.ucsd.edu/dc/object/bb5086895c,1
"Johnson, M",dams:personalName,http://library.ucsd.edu/ark:/20775/bb02745860,http://library.ucsd.edu/dc/object/bb38582123,1
"Rosebrook, B",dams:personalName,http://library.ucsd.edu/ark:/20775/bb15715266,http://library.ucsd.edu/dc/object/bb38582123,1
"Bobbitt, H",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1878697g,http://library.ucsd.edu/dc/object/bb0581732k,1
"Maklan, DM",dams:personalName,http://library.ucsd.edu/ark:/20775/bb19128283,http://library.ucsd.edu/dc/object/bb86705426,6
"Navarro, A",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2185866f,http://library.ucsd.edu/dc/object/bb86705426,1
"Mills, AL",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3141506b,http://library.ucsd.edu/dc/object/bb0581732k,2
"Machado, J",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3209769t,http://library.ucsd.edu/dc/object/bb86705426,4
"Soroko, S",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3482806n,http://library.ucsd.edu/dc/object/bb86705426,1
"Morganstein, D",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3789976d,http://library.ucsd.edu/dc/object/bb1878673f,1
"Kaplan, RM",dams:personalName,http://library.ucsd.edu/ark:/20775/bb45067070,http://library.ucsd.edu/dc/object/bb2561275p,2
"Stouffer, P",dams:personalName,http://library.ucsd.edu/ark:/20775/bb47456169,http://library.ucsd.edu/dc/object/bb5086895c,1
"Burns, D",dams:personalName,http://library.ucsd.edu/ark:/20775/bb38241090,http://library.ucsd.edu/dc/object/bb67592631,1
"Warren, P",dams:personalName,http://library.ucsd.edu/ark:/20775/bb4097146t,http://library.ucsd.edu/dc/object/bb0581732k,1
"Berry, C",dams:personalName,http://library.ucsd.edu/ark:/20775/bb41654095,http://library.ucsd.edu/dc/object/bb2561275p,3
"Messer, K",dams:personalName,http://library.ucsd.edu/ark:/20775/bb4438446p,http://library.ucsd.edu/dc/object/bb0581732k,1
"Choi,  W",dams:personalName,http://library.ucsd.edu/ark:/20775/bb47797481,http://library.ucsd.edu/dc/object/bb86705426,1
"Croos, JH",dams:personalName,http://library.ucsd.edu/ark:/20775/bb50527865,http://library.ucsd.edu/dc/object/bb1878673f,1
"Macky, C",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5121049f,http://library.ucsd.edu/dc/object/bb2561275p,2
"Tirmazi, F",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5394085w,http://library.ucsd.edu/dc/object/bb0581732k,2
"Evans, N",dams:personalName,http://library.ucsd.edu/ark:/20775/bb54623487,http://library.ucsd.edu/dc/object/bb2561275p,2
"Trinidad, DR",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5735389t,http://library.ucsd.edu/dc/object/bb0581732k,2
"Gilpin, EA",dams:personalName,http://library.ucsd.edu/ark:/20775/bb58036462,http://library.ucsd.edu/dc/object/bb86705426,4
"Lim, Y",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6008426t,http://library.ucsd.edu/dc/object/bb5086895c,1
"Zhu, SH",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6076690t,http://library.ucsd.edu/dc/object/bb86705426,2
"Major, J",dams:personalName,http://library.ucsd.edu/ark:/20775/bb63497264,http://library.ucsd.edu/dc/object/bb1878673f,1
"Farkas, A",dams:personalName,http://library.ucsd.edu/ark:/20775/bb67592872,http://library.ucsd.edu/dc/object/bb38582123,1
"Gilmer, T",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7032329w,http://library.ucsd.edu/dc/object/bb0581732k,1
"Cavin, SW",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6417988b,http://library.ucsd.edu/dc/object/bb2561275p,2
"Srinivasan, J",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6691028n,http://library.ucsd.edu/dc/object/bb0581732k,2
"Croos, J",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7100586h,http://library.ucsd.edu/dc/object/bb86705426,3
"Fraser, S",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7305365w,http://library.ucsd.edu/dc/object/bb5086895c,1
"Distefan, JM",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7373628p,http://library.ucsd.edu/dc/object/bb86705426,3
"Lee, L",dams:personalName,http://library.ucsd.edu/ark:/20775/bb76466677,http://library.ucsd.edu/dc/object/bb1878673f,1
"Fahimi, M",dams:personalName,http://library.ucsd.edu/ark:/20775/bb77149271,http://library.ucsd.edu/dc/object/bb2561275p,2
"Sigman, R",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7987970d,http://library.ucsd.edu/dc/object/bb0581732k,2
"Berry, CC",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8363396m,http://library.ucsd.edu/dc/object/bb86705426,4
"White, MM",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8056226m,http://library.ucsd.edu/dc/object/bb86705426,6
Rosbrook. B,dams:personalName,http://library.ucsd.edu/ark:/20775/bb8329268q,http://library.ucsd.edu/dc/object/bb2561275p,1
"Farkas, AJ",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8670567r,http://library.ucsd.edu/dc/object/bb86705426,3
"James, L",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8943609g,http://library.ucsd.edu/dc/object/bb1878673f,1
"Bal, DG",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9011867g,http://library.ucsd.edu/dc/object/bb38582123,1
"Libeg, L",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9284909n,http://library.ucsd.edu/dc/object/bb0581732k,1
"Kealey, S",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9626207d,http://library.ucsd.edu/dc/object/bb1878673f,2
"Rosbrook, B",dams:personalName,http://library.ucsd.edu/ark:/20775/bb93190368,http://library.ucsd.edu/dc/object/bb86705426,2
"Aiken, M",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9660336t,http://library.ucsd.edu/dc/object/bb0581732k,5
"Smith, J",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9899248f,http://library.ucsd.edu/dc/object/bb5086895c,1
"Emery, SL",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9967507q,http://library.ucsd.edu/dc/object/bb86705426,2
"Seuss, Dr.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb74417181,http://library.ucsd.edu/dc/object/bb6587907z,777
"Cho, A. Y. (Alfred Y.)",dams:personalName,http://library.ucsd.edu/ark:/20775/bb06157161,http://library.ucsd.edu/dc/object/bb0547336t,1
"Hamming, R. W. (Richard Wesley), 1915-1998",dams:personalName,http://library.ucsd.edu/ark:/20775/bb67249870,http://library.ucsd.edu/dc/object/bb4096852z,1
"Chu, Ching-wu, 1941-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb4131108h,http://library.ucsd.edu/dc/object/bb3141212d,1
"Gossard, A. C",dams:personalName,http://library.ucsd.edu/ark:/20775/bb15713578,http://library.ucsd.edu/dc/object/bb4438152r,1
"Schrier, Richard",dams:personalName,http://library.ucsd.edu/ark:/20775/bb63836895,http://library.ucsd.edu/dc/object/bb9591785q,1
"Temes, Gabor C., 1929-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb89775665,http://library.ucsd.edu/dc/object/bb9591785q,1
"Xu, Xiaofeng",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7680628v,http://library.ucsd.edu/dc/object/bb9591785q,1
"Zadeh, Lotfi Asker",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9933207k,http://library.ucsd.edu/dc/object/bb6690734s,1
"Chahine, Moustafa T",dams:personalName,http://library.ucsd.edu/ark:/20775/bb60765195,http://library.ucsd.edu/dc/object/bb5393792j,1
"Psaltis, Demetri",dams:personalName,http://library.ucsd.edu/ark:/20775/bb21856960,http://library.ucsd.edu/dc/object/bb08886322,1
"Rosenfeld, Azriel, 1931-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb95919089,http://library.ucsd.edu/dc/object/bb82948454,1
"Muller, Richard S",dams:personalName,http://library.ucsd.edu/ark:/20775/bb57352190,http://library.ucsd.edu/dc/object/bb1844273v,1
"Merhav, N",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1844397b,http://library.ucsd.edu/dc/object/bb7032035z,1
"Ziv, Jacob",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3141336w,http://library.ucsd.edu/dc/object/bb7032035z,1
"Goodman, Joseph W",dams:personalName,http://library.ucsd.edu/ark:/20775/bb92506080,http://library.ucsd.edu/dc/object/bb9250485d,1
"Gulick, Howard E.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb54280527,http://library.ucsd.edu/dc/object/bb70998587,2268
"Wheelock, Walt",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb49843597,http://library.ucsd.edu/dc/object/bb62813025,1
"McMahan, Mike",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb8533881b,http://library.ucsd.edu/dc/object/bb9830818p,1
"Carter, Annetta",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb68956385,http://library.ucsd.edu/dc/object/bb8192581g,1
"Aschmann, Homer, 1920-",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb5871741r,http://library.ucsd.edu/dc/object/bb71686783,1
"Grosso, Arturo",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb4540669h,http://library.ucsd.edu/dc/object/bb5837611t,1
"Fischer, Frank",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb4813711j,http://library.ucsd.edu/dc/object/bb61106484,1
"Hilton, John W.",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb8977569q,http://library.ucsd.edu/dc/object/bb02744186,1
"MacKinnon, Charles",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb4096978g,http://library.ucsd.edu/dc/object/bb5393918p,1
"Gerhard, Peter",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb1093541f,http://library.ucsd.edu/dc/object/bb2390479p,1
"Daggett, Dick",22-rdf-syntax-ns:first,http://library.ucsd.edu/ark:/20775/bb6827383t,http://library.ucsd.edu/dc/object/bb8124320b,1
"Keesing, Roger M., 1935-1993",dams:personalName,http://library.ucsd.edu/ark:/20775/bb4233508g,http://library.ucsd.edu/dc/object/bb1571361n,1
"Hill, Dorothy V.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb98308201,http://library.ucsd.edu/dc/object/bb0308012n,39
"Hill, Kenneth E.",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1127669b,http://library.ucsd.edu/dc/object/bb0308012n,39
"Jackson, William Henry, 1843-1942",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3687419n,http://library.ucsd.edu/dc/object/bb0308012n,39
"McDonald, Marquis",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6213041d,http://library.ucsd.edu/dc/object/bb2389918v,57
"Glasheen, Robert",dams:personalName,http://library.ucsd.edu/ark:/20775/bb38922014,http://library.ucsd.edu/dc/object/bb1127384c,2
"Glasheen, Robert",dams:personalName,http://library.ucsd.edu/ark:/20775/bb4847839w,http://library.ucsd.edu/dc/object/bb3653060t,8309
"Keesing, Roger M., 1935-1993",dams:personalName,http://library.ucsd.edu/ark:/20775/bb89775712,http://library.ucsd.edu/dc/object/bb5154596x,3855
"Crosby, Harry W., 1926-",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3789811g,http://library.ucsd.edu/dc/object/bb30046353,4365
"Prokofiev, Sergei",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2185795x,http://library.ucsd.edu/dc/object/bb20493681,6
"Gershwin, Ira",dams:personalName,http://library.ucsd.edu/ark:/20775/bb08888560,http://library.ucsd.edu/dc/object/bb78169543,1
"Chase, David",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9626136w,http://library.ucsd.edu/dc/object/bb9728332w,6
"Ibert, Jacques",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6486180v,http://library.ucsd.edu/dc/object/bb9660934g,6
"Handel, George",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8329198q,http://library.ucsd.edu/dc/object/bb18442061,1
"Batschelet, Bernhard",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5189237d,http://library.ucsd.edu/dc/object/bb7032069g,14
"Weiss, Silvius Leopold",dams:personalName,http://library.ucsd.edu/ark:/20775/bb7032259w,http://library.ucsd.edu/dc/object/bb4233688s,11
"Baron, Ernst Gottlieb",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5735319f,http://library.ucsd.edu/dc/object/bb7646368d,2
"Caccini, Francesca",dams:personalName,http://library.ucsd.edu/ark:/20775/bb4438376p,http://library.ucsd.edu/dc/object/bb9250480t,2
"Caccini, Giulio",dams:personalName,http://library.ucsd.edu/ark:/20775/bb3141435t,http://library.ucsd.edu/dc/object/bb1435480b,3
"Stozzi, Barbara",dams:personalName,http://library.ucsd.edu/ark:/20775/bb1844497s,http://library.ucsd.edu/dc/object/bb0479068k,4
"Meli, Pietro Paolo",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0581686m,http://library.ucsd.edu/dc/object/bb5086619p,1
"Garsi da Parma, Santino",dams:personalName,http://library.ucsd.edu/ark:/20775/bb9284839n,http://library.ucsd.edu/dc/object/bb7680501t,1
"Campana, Francesca",dams:personalName,http://library.ucsd.edu/ark:/20775/bb79879001,http://library.ucsd.edu/dc/object/bb1229927w,1
"Gagliano, Marco da",dams:personalName,http://library.ucsd.edu/ark:/20775/bb6690958q,http://library.ucsd.edu/dc/object/bb8978300p,6
"Caccini, Settimia",dams:personalName,http://library.ucsd.edu/ark:/20775/bb5394015h,http://library.ucsd.edu/dc/object/bb98648190,1
"Szymanowski, Karol",dams:personalName,http://library.ucsd.edu/ark:/20775/bb40970759,http://library.ucsd.edu/dc/object/bb5906415s,8
"Mussorgsky, Modest",dams:personalName,http://library.ucsd.edu/ark:/20775/bb2800137p,http://library.ucsd.edu/dc/object/bb5497071x,15
"Maloney, Michael",dams:personalName,http://library.ucsd.edu/ark:/20775/bb15373268,http://library.ucsd.edu/dc/object/bb5359659r,4
"Bloch, Georges",dams:personalName,http://library.ucsd.edu/ark:/20775/bb0240388b,http://library.ucsd.edu/dc/object/bb9968087r,11
"Suh, Heechang",dams:personalName,http://library.ucsd.edu/ark:/20775/bb8943539g,http://library.ucsd.edu/dc/object/bb9830685m,3
"MacKay-Simmons, Margo",dams:personalName,http://library.ucsd.edu/ark:/20775/bb76465977,http://library.ucsd.edu/dc/object/bb5803348r,4
